Date,Scrip,Open,High,Low,Close,Volume
20230904,FAREASTLIF,75,75,75,75,1
20230904,FASFIN,5.4,5.4,5.4,5.4,772
20230904,FEDERALINS,26,26.5,26,26.2,186566
20230904,FEKDIL,17.3,17.4,17.2,17.2,504002
20230904,FINEFOODS,120,126.3,120,124.2,101263
20230904,FIRSTFIN,5.5,5.5,5.5,5.5,350
20230904,FIRSTSBANK,8.9,8.9,8.9,8.9,5145
20230904,FORTUNE,75.7,75.7,75.7,75.7,2
20230904,FUWANGCER,17.4,17.4,17.4,17.4,13299
20230904,FUWANGFOOD,39.7,43,39.6,41.6,15827607
20230904,GBBPOWER,15.1,15.1,15.1,15.1,3129
20230904,GEMINISEA,814,825,800,803.1,217296
20230904,GENEXIL,79,79.7,77.9,78.2,635959
20230904,GENNEXT,6.7,6.7,6.4,6.4,4168078
20230904,GHAIL,17.5,17.5,17.5,17.5,20
20230904,GIB,8.6,8.6,8.6,8.6,3510
20230904,GLOBALINS,33.5,34.6,33,33.4,333310
20230904,GOLDENSON,18.2,18.2,18.2,18.2,20
20230904,GP,286.6,286.6,286.6,286.6,349
20230904,GPHISPAT,44.8,44.8,44.8,44.8,774
20230904,GQBALLPEN,126.6,126.7,125,125.1,19471
20230904,GRAMEENS2,15.2,15.2,15.2,15.2,4300
20230904,GREENDELT,76.5,77.4,72,72.6,556990
20230904,HAKKANIPUL,61.7,63,61.4,62.2,65248
20230904,HEIDELBCEM,266.8,269.7,265.1,266.1,57450
20230904,HFL,17.5,17.6,17.5,17.5,22376
20230904,HWAWELLTEX,56,56.9,55.5,55.7,41901
20230904,IBNSINA,286.6,286.6,286.6,286.6,773
20230904,IBP,17,17,17,17,1300
20230904,ICB,87.6,87.6,87.6,87.6,237
20230904,ICICL,32.2,32.8,31.6,32,423722
20230904,IDLC,46.5,46.5,46.5,46.5,414
20230904,IFADAUTOS,44.1,44.1,44.1,44.1,1
20230904,IFIC,11.2,11.2,11.2,11.2,4080
20230904,IFILISLMF1,6.4,6.4,6.4,6.4,10000
20230904,ILFSL,5.6,5.6,5.6,5.6,2000
20230904,IMAMBUTTON,107.8,112,104.1,104.6,57294
20230904,INDEXAGRO,103.6,103.6,103.6,103.6,580
20230904,INTECH,25.3,25.9,24.8,25.1,108671
20230904,INTRACO,42.1,42.6,41.5,41.7,2342104
20230904,IPDC,57.6,57.6,57.6,57.6,250
20230904,ISLAMIBANK,32.6,32.6,32.6,32.6,36679
20230904,ISLAMIINS,48.8,49.4,47.9,49.1,145443
20230904,ISNLTD,47.9,49,47.5,48.6,127971
20230904,ITC,39.6,40,38.7,38.8,698372
20230904,JAMUNABANK,20.9,20.9,20.9,20.9,520
20230904,JAMUNAOIL,177,177.9,177,177.4,6950
20230904,JANATAINS,40.2,41.4,39.3,40.4,1276183
20230904,JHRML,81.5,82.1,80.5,80.7,868472
20230904,JMISMDL,255.5,255.5,255.5,255.5,200
20230904,JUTESPINN,340,343,332,335.4,996
20230904,KARNAPHULI,32.8,33.2,32,32.6,345339
20230904,KAY&QUE,221,221,213.7,216.6,19282
20230904,KBPPWBIL,28.3,28.5,27.5,27.7,4532762
20230904,KDSALTD,77,77,77,77,4
20230904,KEYACOSMET,6.4,6.8,6.4,6.6,7706455
20230904,KOHINOOR,455.1,458.7,452.3,452.8,7945
20230904,KPCL,26.6,26.6,26.6,26.6,1
20230904,KPPL,11,11.1,10.7,10.8,789235
20230904,LANKABAFIN,26,26,26,26,2123
20230904,LEGACYFOOT,124,124.6,120,120.8,775525
20230904,LHBL,70.4,70.4,69.8,70,1031787
20230904,LIBRAINFU,799,839.8,799,826.1,11340
20230904,LINDEBD,1397.7,1397.7,1397.7,1397.7,6
20230904,LRBDL,35.1,35.1,35.1,35.1,5234
20230904,LRGLOBMF1,6.4,6.4,6.4,6.4,101
20230904,MAKSONSPIN,22.3,22.3,22.3,22.3,601
20230904,MALEKSPIN,27.1,27.1,27.1,27.1,505
20230904,MARICO,2553,2564,2552,2557,2443
20230904,MATINSPINN,77.6,77.6,77.6,77.6,4
20230904,MEGCONMILK,29.1,29.4,28.9,28.9,34936
20230904,MEGHNACEM,64,64.3,63.1,63.4,6693
20230904,MEGHNAINS,45,46.4,44.5,44.9,749076
20230904,MEGHNALIFE,73.7,74.7,72.7,73,410350
20230904,MEGHNAPET,37.5,37.5,36.2,36.4,40501
20230904,MERCANBANK,13.3,13.3,13.3,13.3,20
20230904,MERCINS,33.5,34.7,33.5,34.2,168512
20230904,METROSPIN,38.1,39,37.5,37.8,823965
20230904,MHSML,26.5,26.5,26.5,26.5,1
20230904,MIDASFIN,10.1,10.1,10,10,34858
20230904,MIDLANDBNK,13.3,13.4,13,13.1,1022046
20230904,MIRACLEIND,42.8,46.4,42.6,46.4,2680770
20230904,MIRAKHTER,51.8,51.8,50.8,50.9,123678
20230904,MJLBD,88.3,89.2,88.2,88.5,7041
20230904,MONNOAGML,822,840.1,817,832.7,29186
20230904,MONNOCERA,98,98.7,97.9,97.9,101294
20230904,MONOSPOOL,257.1,260,255.9,256.6,28998
20230904,MPETROLEUM,201.2,203.6,201.2,202.5,10413
20230904,MTB,15.5,15.5,15.5,15.5,10
20230904,NAVANACNG,25.2,25.2,24.7,24.8,94762
20230904,NAVANAPHAR,106.8,107.7,104.5,105,988609
20230904,NBL,8.3,8.3,8.3,8.3,1300000
20230904,NCCBANK,13.1,13.1,13.1,13.1,135
20230904,NCCBLMF1,6.8,6.8,6.8,6.8,115
20230904,NEWLINE,45.1,45.1,45.1,45.1,21
20230904,NFML,16.3,16.3,15.9,16,405544
20230904,NHFIL,41.8,41.8,41.8,41.8,200
20230904,NITOLINS,40,41,39.7,40.6,194428
20230904,NORTHERN,213.8,213.9,212.1,212.4,5968
20230904,NORTHRNINS,43,46.4,43,46.2,85040
20230904,NPOLYMER,51,51,51,51,800
20230904,NRBCBANK,16.8,16.8,16.8,16.8,160
20230904,NTC,412,412.5,411.2,411.2,1368
20230904,NTLTUBES,79.5,79.5,79.5,79.5,37934
20230904,NURANI,7,7,7,7,1
20230904,OAL,11.9,11.9,11.5,11.6,1418074
20230904,OIMEX,22,22.1,21.3,21.5,479027
20230904,OLYMPIC,148.2,149,147.1,147.7,143989
20230904,ONEBANKLTD,9.5,9.5,9.5,9.5,1749
20230904,ORIONINFU,335.3,338.4,327.4,328.1,151729
20230904,ORIONPHARM,79.6,79.6,79.6,79.6,718
20230904,PADMALIFE,41.2,41.2,41.2,41.2,120
20230904,PADMAOIL,209.2,209.2,209.2,209.2,323
20230904,PAPERPROC,239.4,239.6,230.5,231.7,100792
20230904,PARAMOUNT,43.5,46.5,43.4,45.2,656106
20230904,PDL,9.9,9.9,9.9,9.9,14541
20230904,PENINSULA,27.4,27.4,27.4,27.4,13860
20230904,PEOPLESINS,38.1,38.9,37.3,38.2,365200
20230904,PHENIXINS,34.9,36.1,34.9,35.8,63700
20230904,PHOENIXFIN,16.3,16.3,16.3,16.3,10
20230904,PHPMF1,5.2,5.2,5.2,5.2,1
20230904,PIONEERINS,72.4,73,71.6,72.2,58716
20230904,POPULAR1MF,5.1,5.1,5.1,5.1,644
20230904,POWERGRID,52.4,52.4,52.4,52.4,1000
20230904,PRAGATIINS,66.7,66.7,64.3,64.5,26235
20230904,PRAGATILIF,127.4,127.5,122.6,124.6,78197
20230904,PREMIERBAN,12.8,12.8,12.8,12.8,204143
20230904,PREMIERCEM,63.7,63.9,63,63.6,63077
20230904,PRIMEBANK,20.3,20.3,19.9,20,1674512
20230904,PRIMEFIN,11.5,11.5,11.5,11.5,5
20230904,PRIMELIFE,56.8,57.2,55.1,55.3,90400
20230904,PROGRESLIF,77.3,77.3,77.3,77.3,591
20230904,PROVATIINS,58.9,58.9,58.9,58.9,26
20230904,PTL,77,77,77,77,620
20230904,PUBALIBANK,27.3,28.2,27.3,27.4,5848
20230904,PURABIGEN,26.4,26.7,26,26.1,236554
20230904,QUEENSOUTH,23.3,23.3,23.3,23.3,400
20230904,RAHIMAFOOD,237.9,238.7,237.7,237.7,68870
20230904,RAKCERAMIC,42.9,42.9,42.9,42.9,130
20230904,RANFOUNDRY,165.1,168,164.7,165.1,9227
20230904,RDFOOD,49,49.4,48.2,48.4,1627255
20230904,RECKITTBEN,4850,4850,4821,4838,19
20230904,REGENTTEX,9.8,9.8,9.8,9.8,535
20230904,RELIANCE1,9.9,9.9,9.9,9.9,8106
20230904,RELIANCINS,69.5,72,69.5,70.2,122796
20230904,RENATA,1217.9,1217.9,1217.9,1217.9,286
20230904,RENWICKJA,750.1,750.1,750.1,750.1,1
20230904,REPUBLIC,37.4,38.5,37.1,38,244447
20230904,RINGSHINE,9.8,9.8,9.8,9.8,7152
20230904,RNSPIN,6.2,6.2,6.2,6.2,5520
20230904,ROBI,30,30,30,30,5153
20230904,RSRMSTEEL,18,18,17.7,17.8,43523
20230904,RUPALIBANK,29.9,30.7,29.9,30,633260
20230904,RUPALIINS,29.3,29.7,29.2,29.4,376036
20230904,RUPALILIFE,116.3,116.8,113.1,114,1466130
20230904,SAFKOSPINN,19.4,19.4,19.4,19.4,259
20230904,SAIFPOWER,29.7,29.7,29.7,29.7,300
20230904,SAIHAMCOT,16.4,16.4,16.4,16.4,2630
20230904,SAIHAMTEX,17.6,17.6,17.6,17.6,354
20230904,SALVOCHEM,61.8,61.8,61.8,61.8,991
20230904,SAMATALETH,60.6,60.6,58.8,59,9179
20230904,SAMORITA,75.1,78,74.8,77,101061
20230904,SANDHANINS,27.4,27.5,27,27.1,160987
20230904,SAPORTL,27.4,27.4,27.2,27.2,200957
20230904,SBACBANK,10.5,10.5,10.5,10.5,80
20230904,SEAPEARL,183.4,183.7,178,179.4,829599
20230904,SHAHJABANK,18.3,18.3,18.3,18.3,9225
20230904,SHURWID,14.1,14.6,14.1,14.4,28515
20230904,SHYAMPSUG,100,101.7,99.5,100.8,4049
20230904,SIBL,11.7,11.7,11.7,11.7,4000
20230904,SILCOPHL,23.4,23.4,23.4,23.4,3
20230904,SILVAPHL,21.6,21.6,21.6,21.6,7000
20230904,SIMTEX,27.6,27.6,26.2,26.5,3408065
20230904,SINGERBD,151.9,151.9,151.9,151.9,2004
20230904,SINOBANGLA,72.2,74.5,71.6,73.6,749878
20230904,SKICL,49.2,50.1,49,49.7,147435
20230904,SKTRIMS,30.6,31.2,29.7,30.1,1641061
20230904,SONALIANSH,549.9,558.9,542.4,543.7,110322
20230904,SONALILIFE,81.5,82.9,79.6,80,206223
20230904,SONALIPAPR,695,697.6,669,675.9,151642
20230904,SONARBAINS,44.8,45.5,44.8,44.8,88219
20230904,SONARGAON,33.2,33.3,33.1,33.1,49019
20230904,SOUTHEASTB,13.3,13.3,13.3,13.3,376
20230904,SPCERAMICS,43,43,43,43,5
20230904,SPCL,65.5,65.5,65.5,65.5,238
20230904,SQURPHARMA,211.5,211.5,210.5,210.7,161048
20230904,SSSTEEL,16.6,16.6,16.6,16.6,20
20230904,STANCERAM,108.7,108.7,108.7,108.7,637
20230904,STANDARINS,43.3,43.7,43.3,43.3,161377
20230904,STANDBANKL,8.6,8.6,8.6,8.6,170
20230904,STYLECRAFT,86.1,87,85.8,86.5,13333
20230904,SUMITPOWER,34,34,34,34,435
20230904,SUNLIFEINS,52.9,52.9,52.9,52.9,5
20230904,TAKAFULINS,42.3,42.9,42.1,42.3,8375
20230904,TAMIJTEX,178.3,178.3,178.3,178.3,393
20230904,TILIL,53.5,53.9,52.5,52.8,178241
20230904,TITASGAS,40.9,40.9,40.9,40.9,50
20230904,TOSRIFA,29.8,30.7,29.8,30.3,611231
20230904,TRUSTBANK,31.7,31.7,31.7,31.7,100
20230904,UCB,12.4,12.4,12.4,12.4,340
20230904,UNILEVERCL,2040,2050,2039,2042.8,195
20230904,UNIONBANK,8.9,8.9,8.9,8.9,3119
20230904,UNIONCAP,8.4,8.4,8.2,8.3,792654
20230904,UNIONINS,57.4,59.5,57.4,59.1,1051729
20230904,UNIQUEHRL,67,67.4,65.9,67,1001211
20230904,UNITEDINS,41.2,41.6,40.2,40.6,38338
20230904,UPGDCL,233.7,233.7,233.7,233.7,105
20230904,USMANIAGL,52.9,53.9,52.5,52.6,4553
20230904,UTTARABANK,22,22,22,22,60167
20230904,VAMLBDMF1,7.3,7.3,7.3,7.3,1000
20230904,WALTONHIL,1047.7,1047.7,1047.7,1047.7,152
20230904,WATACHEM,200.2,200.2,200.2,200.2,5
20230904,WMSHIPYARD,11.9,12,11.7,11.7,1309092
20230904,YPL,27,29.5,26.9,29.3,5450936
20230904,ZAHEENSPIN,9.9,10,9.9,9.9,692331
20230904,ZEALBANGLA,121.3,122.7,120.9,121.1,2390
